SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500405,SUPREME PET ,B ,Q,174.00,174.00,169.15,170.85,170.85,175.55,68,402,69448.00,
500407,SWARAJ ENGIN,B ,Q,1175.60,1189.95,1151.05,1185.95,1187.05,1168.90,24,57,67200.00,
500408,TATA ELXSI  ,A ,Q,615.95,621.45,613.00,618.70,618.70,610.20,1085,44842,27721524.00,
500410,ACC LTD     ,A ,Q,1445.00,1465.60,1437.85,1461.40,1461.40,1441.20,1265,20940,30474688.00,
500411,THERMAX     ,A ,Q,1000.65,1009.15,985.50,989.50,985.65,998.35,261,1551,1546688.00,
500412,THIRUMALAI  ,B ,Q,58.00,58.90,57.75,58.65,58.65,57.95,73,5719,333109.00,
500413,THOMAS COOK ,A ,Q,143.90,145.95,142.15,144.90,145.00,143.85,115,2729,391102.00,
500414,TIMEX GROUP ,X ,Q,35.40,37.25,35.40,36.55,36.55,35.75,28,2552,92598.00,
500418,TOKYO PLAST ,B ,Q,51.35,51.35,51.35,51.35,51.35,53.00,1,2,102.00,
500420,TORRENT PHAR,A ,Q,1699.70,1732.30,1692.90,1713.60,1717.50,1690.60,361,6187,10608889.00,
500422,TRANSCHEM   ,X ,Q,14.80,14.80,14.80,14.80,14.80,14.30,1,5,74.00,
500425,AMBUJA CEME ,A ,Q,192.00,193.65,190.60,193.25,193.25,191.00,1243,93543,18010489.00,
500439,VARD HOLDNG ,B ,Q,1488.90,1488.90,1472.00,1472.00,1472.00,1475.25,3,15,22163.00,
500440,HINDALCO    ,A ,Q,182.00,188.45,181.95,184.65,184.60,181.55,1616,286546,52866034.00,
500444,WEST COAS PA,B ,Q,222.85,230.80,221.55,229.40,230.80,223.95,457,5367,1220171.00,
500449,HIND.ORG.CHM,B ,Q,12.30,13.70,12.30,13.38,13.38,12.87,174,28641,383012.00,
500456,PAS.ACRYLON ,X ,Q,14.11,14.55,14.00,14.18,14.18,14.57,52,12194,173621.00,
500459,PROCTER &GAM,A ,Q,10093.60,10118.40,10037.80,10070.20,10100.00,10077.30,73,102,1028082.00,
500460,MUKAND LTD. ,T ,Q,32.45,34.30,32.45,32.45,32.45,34.00,3,360,11700.00,
500464,UCAL FUEL   ,B ,Q,129.40,131.00,128.60,129.00,128.60,128.10,202,2278,296148.00,
500467,HARR.MALAYAL,B ,Q,49.65,50.10,48.45,48.80,48.45,49.35,108,6875,339612.00,
